
ProcessName                     Id Path
msedgewebview2                8412 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\153.0.4234.48\msedgewebview2.exe
msedgewebview2                9900 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\153.0.4234.48\msedgewebview2.exe
msedgewebview2                7672 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\153.0.4234.48\msedgewebview2.exe
msedgewebview2                6080 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\153.0.4234.48\msedgewebview2.exe
msedgewebview2                1656 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\153.0.4234.48\msedgewebview2.exe
msedgewebview2                 672 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\153.0.4234.48\msedgewebview2.exe
msedgewebview2               13284 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\153.0.4234.48\msedgewebview2.exe
MsMpEng                      16564 
mysqld                        7036 
mysqld                        6124 
NisSrv                       19920 
NVDisplay.Container           2332 
NVDisplay.Container           1740 
OfficeClickToRun              6284 
OneApp.IGCC.WinService        5660 
OneDrive                     13564 C:\Program Files\Microsoft OneDrive\OneDrive.exe
OneDrive.Sync.Service        22592 C:\Program Files\Microsoft OneDrive\26.163.0823.0004\OneDrive.Sync.Service.exe
OpenConsole                   8700 C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.11911.0_x64__8wekyb3d8bbwe\OpenConsole.exe
PresentationFontCache        11220 
pwsh                          1428 C:\Program Files\WindowsApps\Microsoft.PowerShell_7.6.6.0_x64__8wekyb3d8bbwe\pwsh.exe
pwsh                         12348 C:\Program Files\WindowsApps\Microsoft.PowerShell_7.6.6.0_x64__8wekyb3d8bbwe\pwsh.exe
python3.11                    2808 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\python3.11.exe
python3.11                    9336 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\python3.11.exe
Registry                       176 
RstMwService                  4344 
RtkAudUService64             18172 C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_179f26ff7cd32d0f\RtkAudUService64.exe
RtkAudUService64              6156 
RuntimeBroker                12020 C:\Windows\System32\RuntimeBroker.exe
RuntimeBroker                17556 C:\Windows\System32\RuntimeBroker.exe
RuntimeBroker                17568 C:\Windows\System32\RuntimeBroker.exe
RuntimeBroker                18524 C:\Windows\System32\RuntimeBroker.exe
RuntimeBroker                19344 C:\Windows\System32\RuntimeBroker.exe
RuntimeBroker                22860 C:\Windows\System32\RuntimeBroker.exe
SearchFilterHost              1432 
SearchFilterHost             13368 
SearchHost                   12388 C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe
SearchIndexer                 5968 
SearchProtocolHost           15408 
SecurityHealthService        16216 
SecurityHealthSystray        15244 C:\Windows\System32\SecurityHealthSystray.exe
services                      1336 
